text_id	text	label
3358	I was mugged a couple of years ago	0
4901	I went to the gym	0
51797	I felt ... when I completed my DofE silver	0
7136	I felt ... when I made a new friend at college because I struggled to find somebody trustworthy and ‘’my kind of person”. I’m not very social and I don’t like to talk outside of work so I was filled with ... when I found myself a friend who felt the same way. I was full of ... because I embraced who I really was and I didn’t feel so alone because I knew there were people like me.	0
51114	The day i got my job (finance and Accounting) makes me really proud and ...	0
51405	My grandfather was diagnosed with dementia	0
5954	One of my family members was taken into hospital	0
6786	We got approved for the mortgage for our new home	0
3234	my child wanted me to play the same game with him for the umpteenth time.	0
4580	I felt ... when I spider crawled on my leg because I hate them.	0
52894	when i was collect I was very sick and there was no cash with me to get some stuff, it was a terrible situation but i have to ... a girl friend of my whom i have been hiding my actual balance from with my Card and the pin to help get those things i needed. i was very afraid, for many hours she was gone with my phone i was like what if and what if	0
51576	I felt ... when my daughter was chosen as student of the month.	0
6508	I felt ... when I traveled to Europe because I got to fulfill a dream.	0
3398	I felt ... because of my cousin, B. She and I used to be extremely close, pretty much like sisters. (In another situation for the ... survey I talked about two people, A and P, they are also relevant in this story). After my situation with A and P where garbage was thrown at me, they decided to mess with my family. They told B that I was talking bad about her all the time, and said I was spreading rumours, and she tried having me suspended from school. when that didn't work because they know everything she said was wrong, she tried pushing me down the stairs at school. when I dodged her, she waited a few days and slammed me into a locker and two guys had to get her off of me because she was probably about 100 pounds heavier than me. Since then, I have not seen her or gone to any family gatherings because I'm so ... of her doing anything to me. I'm still very ... of her.	0
5858	My mother was dying of cancer	0
220	I get extremely ... at work. If fact that is the reason I signed up for prolific in the first place. I work in an office job and there isn't much work to do in the middle of the week. I try and cure the ... by doing surveys, or just chatting with my co-workers, or friends on my phone.	0
6124	I had to check all of my ropes equipment. You have to check every single bit as well as serial numbers. It takes a long time and is very repeatative.	0
51257	Hanging with my bestie.	0
41168	I got my first freelance client	0
3363	I saw a spider	0
3223	I do the same thing over and over again	0
64	I was buying a car and it was taking longer and was more complicated than it needed to be	0
41391	I felt ... when I found out my husband had an online gambling addiction. He had got us into thousands of pounds worth of debt and was heart breaking to find out. I found a bank statement in the kitchen and just happened to open it and see all the ins and outgoings. I felt so ... and confronted him when he got home from work. He was very sorry but it still to this day makes me feel upset that we were put in such a horrible position and what the outcome could have been if I had not found out when I did.	0
5802	I didn't submit an essay on time at university.	0
4571	In elementary school one of my male classmates starting to sexually harass me everyday, touching me inappropriately in all different places multiple times a day, I was too ... to tell anyone or tell him off.	0
51159	I felt ... at the birth of our first grandchild	0
3321	I was dating a girl during high school and after some date I took her home. Normally I would just drop her off and head home myself, but this time she and her guardian invited me inside to relax before the long drive home. Once inside I discovered that her family were hoarders and rarely, if ever, would clean the house using actual products. The house had a smell to it that would differ between rooms, but it always seemed to be a sweet-and-sour kind of stench. At the time I never said anything aside from offering to clean some stuff, but it was often physically ... to be inside the house for any extended period of time.	0
52082	my daughter was ill and was very sick through the night and i felt i couldn't help	0
41161	I felt ... when I completed Highschool because my parents did not get the chance to.	0
2136	I graduated from University with a Masters Degree	0
51394	I was waiting for test results and I always try to be unemotional till I find out the ends result	0
4776	I got a girlfriend	0
5898	I heard someone walking up my stairs when I was in bed, it turned out it was my brother but it really ... me at the time	0
396	I felt ... when my friend's girlfriend touched my stuff without permission.	0
344	people push my boundaries and attempt to control my way of living.	0
5700	I felt ... when I stumbled upon a racist twitter account that continued to post ... content even after I had reported it numerous times	0
3167	I felt ... when I was stuck at home with nothing to do. I got into a car crash a couple years ago and did not have any transportation so I was stuck at home for a while. Sometimes my friends would visit which was fun, but when everyone was busy and I had nowhere to go I was extremely ... because I felt stuck with nothing to do.	0
41794	my good friend shared something personal with me	0
822	When I was cut from a sports team	0
52102	my parents were upset before my wedding	0
52317	I was tied to a pole by my shoelaces when I was in kindergarten.	0
649	When my husband's business partner became pregnant because I wanted my husband to be employed by a company instead of him being a director of his company which was failing. I wanted him to apply for a local job which had amazing benefits and amazing pay and it was obvious that their business idea wasn't going to work in the long run. My husband refused to apply saying he was going to let his business partner down. Then a couple months later as the company was slowly losing money his business partner announced she was pregnant, but she was 5 months pregnant so knew for a while! I felt so ... because my husband decided to then find a job and I wish he just listened to me from the beginning.	0
6817	Receiving a negative covid test after being exposed	0
5632	Someone made an innapropriate comment about my weight	0
51539	I felt ... when I was eating dinner last night because i do i every night	0
6586	Cleaning out my pet rats	0
3432	i was trapped between a mother bear and her cubs	0
31085	I discovered on Instagram that I was being cheated on	0
51535	When my father told me his friends passed away.	0
51801	I did really well in a course I didn't think I would do well in	0
5327	I was participating in our Physical Exercise (PE) lesson in school, as I dislike doing sports due to the competitiveness and frustration of other students.	0
679	two people I was really close to in middle school, high school, and most of college, decided to cut off the friendship for reasons that weren't at all valid and it ... me that they can throw away years worth of friendship over nothing.	0
52312	Lost my temper with my child	0
230	I had to complete a couple of hours of e-learning courses for work	0
6207	I was having a stem cell transplant and chemotherapy,  being in an isolation room attached to many machines being ... out of my skull ended up watching the same episode of top gear on repeat on tv	0
41316	I felt ... when the advice I gave for a friend's math problem helped them solve the answer correctly. In an online chatroom, my friend asked for help answering a calculus question that they only had one attempt left to try to get right. When I successfully helped them through the problem, and the submission was successful, I was ... that my advice wasn't wrong.	0
51231	finally mastered a song i was practising on guitar	0
41863	They made me feel safe	0
4820	My parents visited us	0
51695	My daughter had a great parents evening	0
711	there isn't something mentally stimulating to me.	0
479	I felt ... when my sister assumed I would watch her children because I felt she was taking advantage	0
51922	I got college placement place	0
41059	an essay that I wrote for a class was personally chosen as an example for other students	0
6695	somebody commented how well behaved the grandchildren were when out with me	0
52857	I had to collect a parcel for a friend	0
51321	when i went on holiday to Greece because it was so relaxing and beautiful	0
61100	i gave a co-worker my credit card to get something refunded for me and they did it without doing anything else	0
41586	I felt ... when a previous partner of mine made fun of me for one of my sexual fetishes. I had built up the confidence to ask them to include it when we had sex, and instead of the hoped-for reaction of agreement, or the emotionally-neutral reaction of politely declining, they ridiculed me for having the fetish and strongly refused to ever indulge it.	0
617	I felt ... when a former friend I sold a jeep to sued me because they didn't know what they were doing.	0
6221	one of my classmates purposely gave me incorrect information about an assignment so that I would perform poorly and look like a fool.	0
4858	I saw my friends after a long time apart	0
695	I felt ... when I had no phone	0
61072	I was feeling overwhelmed and my husband sensed it. He asked me what was in my head and I listed them all out. He then categorised them into importance and gave me small tasks to accomplish. I felt I could ... him to help me through overwhelming times.	0
5931	we were attacked	0
6742	When I found a ring that I had lost	0
6189	im not being productive	0
5944	Someone tried to break into my house a couple of years ago at ~3am	0
31037	My dog died very suddenly.	0
