text_id	text	label
3488	When I yell at my child	0
41055	I felt PRIDE when my team and I brought in a major client for construction to the organization. The news was well received by the whole company and we got a lot of recognition and credit for our hard work.	0
52025	I felt relief when we saw that people were still waiting at the bus stop be sure I had slept in and had been rushing to get my son ready for school, as I had to work, and if we missed the bus I'd have been late for work and I have severe anxiety about being late. So when we left the building and looked down the street to the bus stop and saw people waiting still, relief washed over me because I knew everything was going to be okay.	0
7143	we went on a hike on a UK holiday. The weather was warmer than we anticipated, the hike was rougher, we didn't take enough to drink as we were stopping at a cafe on the way. The cafe had closed! We had to trawl all the way back to the holiday cottage and when I saw it on the horizon, got there and had a long drink, that was true relief.	0
51365	When i watched a tv program my husband was deeply invested in	0
51634	When my children graduated from university	0
4734	When I got my A level results	0
7158	I took magic mushrooms and watched Edward Scissorhands	0
3345	I stood barefoot on a slug.	0
51069	I felt guilt when I didn't make time to call my friend back on the weekend.	0
52894	when i was collect I was very sick and there was no cash with me to get some stuff, it was a terrible situation but i have to trust a girl friend of my whom i have been hiding my actual balance from with my Card and the pin to help get those things i needed. i was very afraid, for many hours she was gone with my phone i was like what if and what if	0
51926	I went to my first baby scan	0
6588	meeting two new people at a recent wedding	0
4644	I was really late to pick my kid up from school	0
4856	I travelled to Disney world in Florida with my family because it had been a life long dream and we enjoyed every second.	0
256	i got the strawberries out of the fridge and they had gone off, exploded and gone furry.	0
5618	my friend got cheated on	0
51500	When I walked my dog this morning.	0
41326	I was worried that my mail was stolen (this would've been the 3rd time this week) but I came inside and someone was kind and put it inside the door of my apartment building for me.	0
3492	I felt guilt when I knew someone was about to lose their job before they was made aware, and couldn't make them aware beforehand.	0
3335	I felt discust when I heard about Texas making abortions after 6 weeks (and miscarriages) illegal. I don't understand it from a number of fronts, including that miscarriages aren't by choice.	0
6148	I was at a wedding which went on for hours and the food was not served yet.	0
52339	I revealed a family secret acccidently	0
3582	The day I got married	0
6401	"When I stole a Yu-Gi-Oh card in Grade 2. Funny thing was, it was actually my own card that another kid had just stolen from me, but I felt so guilty about ""stealing"" it back from him that I relented and gave it back to him again."	0
51414	I felt no particular emotion when tickets for a show I wanted to see were cancelled for the 3rd time becasue of Covid 19.	0
3437	i was walking home from work late, i worked at a bar and i used to not finish work till 4am my house was 15 mins walk from my work. I would feel fear when someone was walking towards me that late at night. or a specific night when a car drove by slow then u -turned and came back down slowly i felt very scared	0
