text_id	text	label
3358	I was mugged a couple of years ago	0
51496	I felt no particular emotion when I watched the Liverpool Vs Manchester City game	0
41283	I found out my exam results from the end of my second year at university.	0
51914	I saw my girlfriend after surgery	0
3755	I watch most television programs.	0
3792	Investing 5 grand	0
5954	One of my family members was taken into hospital	0
41459	My child was ill	0
3234	my child wanted me to play the same game with him for the umpteenth time.	0
4580	I felt fear when I spider crawled on my leg because I hate them.	0
52894	when i was collect I was very sick and there was no cash with me to get some stuff, it was a terrible situation but i have to trust a girl friend of my whom i have been hiding my actual balance from with my Card and the pin to help get those things i needed. i was very afraid, for many hours she was gone with my phone i was like what if and what if	0
2150	I got the correct ferry	0
41008	I found out Arsenal had won yesterday	0
3398	I felt fear because of my cousin, B. She and I used to be extremely close, pretty much like sisters. (In another situation for the fear survey I talked about two people, A and P, they are also relevant in this story). After my situation with A and P where garbage was thrown at me, they decided to mess with my family. They told B that I was talking bad about her all the time, and said I was spreading rumours, and she tried having me suspended from school. when that didn't work because they know everything she said was wrong, she tried pushing me down the stairs at school. when I dodged her, she waited a few days and slammed me into a locker and two guys had to get her off of me because she was probably about 100 pounds heavier than me. Since then, I have not seen her or gone to any family gatherings because I'm so scared of her doing anything to me. I'm still very scared of her.	0
5858	My mother was dying of cancer	0
220	I get extremely bored at work. If fact that is the reason I signed up for prolific in the first place. I work in an office job and there isn't much work to do in the middle of the week. I try and cure the boredom by doing surveys, or just chatting with my co-workers, or friends on my phone.	0
6124	I had to check all of my ropes equipment. You have to check every single bit as well as serial numbers. It takes a long time and is very repeatative.	0
4904	my mom was rushed to hospital because of a serious medical event when i was a teenager, and i felt emotionally numb to the entire process for several days because of my inability to process what was happening.	0
6705	my daughter stood up for herself to a bully. I felt really proud of her because she was brave and confident and managed to be firm while not becoming a bully herself	0
3363	I saw a spider	0
3223	I do the same thing over and over again	0
64	I was buying a car and it was taking longer and was more complicated than it needed to be	0
52189	I didn't make friends in my first week at Uni	0
5802	I didn't submit an essay on time at university.	0
4571	In elementary school one of my male classmates starting to sexually harass me everyday, touching me inappropriately in all different places multiple times a day, I was too scared to tell anyone or tell him off.	0
3688	I felt no emotion when my brother and father got into a disagreement and I was observing/listening in on their conversation.	0
3321	I was dating a girl during high school and after some date I took her home. Normally I would just drop her off and head home myself, but this time she and her guardian invited me inside to relax before the long drive home. Once inside I discovered that her family were hoarders and rarely, if ever, would clean the house using actual products. The house had a smell to it that would differ between rooms, but it always seemed to be a sweet-and-sour kind of stench. At the time I never said anything aside from offering to clean some stuff, but it was often physically revolting to be inside the house for any extended period of time.	0
31289	I felt surprise when I was nominated to attend a class over summer at Berkley.	0
6699	It was my sons speech and drama exam. He went up on the stage and recited his poem in front of the audience. I felt unbelievable pride watching him so confidently speak.	0
51583	i got accepted into university	0
3781	I got under 100 pounds weight lost (again!)	0
6435	In early October this year when I completed my first Ultra Marathon race	0
5898	I heard someone walking up my stairs when I was in bed, it turned out it was my brother but it really scared me at the time	0
396	I felt ANGER when my friend's girlfriend touched my stuff without permission.	0
344	people push my boundaries and attempt to control my way of living.	0
