text_id	text	label
3358	I was mugged a couple of years ago	0
4901	I went to the gym	0
52025	I felt relief when we saw that people were still waiting at the bus stop be sure I had slept in and had been rushing to get my son ready for school, as I had to work, and if we missed the bus I'd have been late for work and I have severe anxiety about being late. So when we left the building and looked down the street to the bus stop and saw people waiting still, relief washed over me because I knew everything was going to be okay.	0
7143	we went on a hike on a UK holiday. The weather was warmer than we anticipated, the hike was rougher, we didn't take enough to drink as we were stopping at a cafe on the way. The cafe had closed! We had to trawl all the way back to the holiday cottage and when I saw it on the horizon, got there and had a long drink, that was true relief.	0
51114	The day i got my job (finance and Accounting) makes me really proud and happy	0
51405	My grandfather was diagnosed with dementia	0
5954	One of my family members was taken into hospital	0
7158	I took magic mushrooms and watched Edward Scissorhands	0
3234	my child wanted me to play the same game with him for the umpteenth time.	0
4580	I felt fear when I spider crawled on my leg because I hate them.	0
52894	when i was collect I was very sick and there was no cash with me to get some stuff, it was a terrible situation but i have to trust a girl friend of my whom i have been hiding my actual balance from with my Card and the pin to help get those things i needed. i was very afraid, for many hours she was gone with my phone i was like what if and what if	0
51926	I went to my first baby scan	0
6508	I felt joy when I traveled to Europe because I got to fulfill a dream.	0
3398	I felt fear because of my cousin, B. She and I used to be extremely close, pretty much like sisters. (In another situation for the fear survey I talked about two people, A and P, they are also relevant in this story). After my situation with A and P where garbage was thrown at me, they decided to mess with my family. They told B that I was talking bad about her all the time, and said I was spreading rumours, and she tried having me suspended from school. when that didn't work because they know everything she said was wrong, she tried pushing me down the stairs at school. when I dodged her, she waited a few days and slammed me into a locker and two guys had to get her off of me because she was probably about 100 pounds heavier than me. Since then, I have not seen her or gone to any family gatherings because I'm so scared of her doing anything to me. I'm still very scared of her.	0
5858	My mother was dying of cancer	0
220	I get extremely bored at work. If fact that is the reason I signed up for prolific in the first place. I work in an office job and there isn't much work to do in the middle of the week. I try and cure the boredom by doing surveys, or just chatting with my co-workers, or friends on my phone.	0
6124	I had to check all of my ropes equipment. You have to check every single bit as well as serial numbers. It takes a long time and is very repeatative.	0
51257	Hanging with my bestie.	0
41326	I was worried that my mail was stolen (this would've been the 3rd time this week) but I came inside and someone was kind and put it inside the door of my apartment building for me.	0
3363	I saw a spider	0
3223	I do the same thing over and over again	0
64	I was buying a car and it was taking longer and was more complicated than it needed to be	0
52339	I revealed a family secret acccidently	0
5802	I didn't submit an essay on time at university.	0
4571	In elementary school one of my male classmates starting to sexually harass me everyday, touching me inappropriately in all different places multiple times a day, I was too scared to tell anyone or tell him off.	0
51159	I felt joy at the birth of our first grandchild	0
3321	I was dating a girl during high school and after some date I took her home. Normally I would just drop her off and head home myself, but this time she and her guardian invited me inside to relax before the long drive home. Once inside I discovered that her family were hoarders and rarely, if ever, would clean the house using actual products. The house had a smell to it that would differ between rooms, but it always seemed to be a sweet-and-sour kind of stench. At the time I never said anything aside from offering to clean some stuff, but it was often physically revolting to be inside the house for any extended period of time.	0
31289	I felt surprise when I was nominated to attend a class over summer at Berkley.	0
41321	I felt relief after getting my first car	0
2157	I found out I didn't love my credit card	0
51394	I was waiting for test results and I always try to be unemotional till I find out the ends result	0
4776	I got a girlfriend	0
5898	I heard someone walking up my stairs when I was in bed, it turned out it was my brother but it really scared me at the time	0
396	I felt ANGER when my friend's girlfriend touched my stuff without permission.	0
344	people push my boundaries and attempt to control my way of living.	0
5700	I felt disgust when I stumbled upon a racist twitter account that continued to post disgusting content even after I had reported it numerous times	0
3167	I felt boredom when I was stuck at home with nothing to do. I got into a car crash a couple years ago and did not have any transportation so I was stuck at home for a while. Sometimes my friends would visit which was fun, but when everyone was busy and I had nowhere to go I was extremely bored because I felt stuck with nothing to do.	0
41794	my good friend shared something personal with me	0
52503	I felt surprised when I was 14 years old and my Dad returned earlier from a 3 month business trip to pick me up from school. I didn't know he was coming to pick me up and as far as I knew he was stilling working, so it was a very pleasant surprised.	0
31186	My boyfriend proposed to me.	0
52590	I felt surprise when I was out one day picking up trash in the park and a woman around my age came up to me and was so excited to see what I was doing, she asked for my phone number and said maybe we could hang out sometime and get our kids to hang out. I was surprised because no one had ever been that excited about something I was doing, and as an adult I'd never had a stranger ask for my number and want to be my friend so randomly like that.	0
649	When my husband's business partner became pregnant because I wanted my husband to be employed by a company instead of him being a director of his company which was failing. I wanted him to apply for a local job which had amazing benefits and amazing pay and it was obvious that their business idea wasn't going to work in the long run. My husband refused to apply saying he was going to let his business partner down. Then a couple months later as the company was slowly losing money his business partner announced she was pregnant, but she was 5 months pregnant so knew for a while! I felt so angry because my husband decided to then find a job and I wish he just listened to me from the beginning.	0
815	I found out my Aunt had passed away from covid at the beginning of the year. She spent chrstmas day with her daughter, son in law and their kids however caught covid over christmas dinner. Within a week she had gone from being completely healthy and fit to being rushed to hospital. We received a text message from the family one afternoon early January to say she had been admitted to hospital with covid, within 24 hours she had gone onto a ventilator and sadly passed away.	0
5632	Someone made an innapropriate comment about my weight	0
51539	I felt no particular emotion when I was eating dinner last night because i do i every night	0
6586	Cleaning out my pet rats	0
3432	i was trapped between a mother bear and her cubs	0
41585	I reacted out of anger and said hurtful words to my spouse.	0
51535	When my father told me his friends passed away.	0
52029	I was assigned my project of choice for my final year degree project	0
5327	I was participating in our Physical Exercise (PE) lesson in school, as I dislike doing sports due to the competitiveness and frustration of other students.	0
679	two people I was really close to in middle school, high school, and most of college, decided to cut off the friendship for reasons that weren't at all valid and it angered me that they can throw away years worth of friendship over nothing.	0
52585	I was asking advice from a mentor about how to deal with a person we both knew and were close with (and who was my boss). The mentor suggested that I do some soul searching and essentially questioned whether I should even keep that job	0
230	I had to complete a couple of hours of e-learning courses for work	0
6207	I was having a stem cell transplant and chemotherapy,  being in an isolation room attached to many machines being bored out of my skull ended up watching the same episode of top gear on repeat on tv	0
41474	I wasn't invited to my close friends wedding	0
51231	finally mastered a song i was practising on guitar	0
41863	They made me feel safe	0
4820	My parents visited us	0
51980	I was called back to the job I was formerly furloughed off from	0
711	there isn't something mentally stimulating to me.	0
479	I felt anger when my sister assumed I would watch her children because I felt she was taking advantage	0
52050	our dog died of cancer suddenly a year ago.	0
41223	I felt relief after going on a short vacation with my family.	0
6768	my dad was told his cancer had not spread.	0
52857	I had to collect a parcel for a friend	0
51321	when i went on holiday to Greece because it was so relaxing and beautiful	0
61100	i gave a co-worker my credit card to get something refunded for me and they did it without doing anything else	0
52597	When I picked up my dog as puppy, I couldn't be more surprised how much I would love him.	0
617	I felt anger when a former friend I sold a jeep to sued me because they didn't know what they were doing.	0
6221	one of my classmates purposely gave me incorrect information about an assignment so that I would perform poorly and look like a fool.	0
4858	I saw my friends after a long time apart	0
695	I felt boredom when I had no phone	0
61072	I was feeling overwhelmed and my husband sensed it. He asked me what was in my head and I listed them all out. He then categorised them into importance and gave me small tasks to accomplish. I felt I could trust him to help me through overwhelming times.	0
5931	we were attacked	0
6890	I lost the school government election	0
6189	im not being productive	0
