text_id	text	rank	anger_masked	boredom_masked	disgust_masked	fear_masked	guilt_shame_masked	joy_masked	pride_masked	relief_masked	sadness_masked	surprise_masked	trust_masked	disgust_unmasked	trust_unmasked	pride_unmasked	relief_unmasked	boredom_unmasked	fear_unmasked	surprise_unmasked	guilt_shame_unmasked	joy_unmasked	sadness_unmasked	anger_unmasked	storytelling_mixed_domain	storytelling_one_domain	global_abs_hedge	final_hedge	avg_hedge	first_abs_hedge	first_hedge	final_abs_hedge
1	Social media brings more harm than good. , discuss each other life .But now i guess this era has been taken overtaken by social media.I mean you want food -order online zomato, its like people have literally forgotten the culture of	0.5	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0.1052631578947368	0.0588972431077694	0	0.0	2
2	Online shopping brings more harm than good. - One doesn't interact with other people as much. -You don't get to inspect the object physically. - Phishing scams or other malware attacks. - Relying on others for delivery.	0.4	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0
3	Online shopping brings more good than harm. -Less time wasted to pick the product; -Fast and often reliable services for delivery; -Convenience of not leaving the house; -Cheaper solutions;	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0333333333333333	0.0166666666666666	0	0.0	1
10	Gambling should be banned. 1.The people who Gambling at the first they lose everything if you lose .Most of the time they never win just lose not only the money also the close family	0.5	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0.0	0.0666666666666666	1	0.2	0
11	We should ban doping in sport. 2. More info: When it is illegal you have less access to doctors because you cannot freely talk about such issues. Usually, athlete will only have access to team doctor who is biased.	0.0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0.0714285714285714	0.0667293233082706	1	0.1428571428571428	1
12	We should support information privacy laws. 52% of Americans are concerned about surveillance of their daily lives.	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0769230769230769	0.1098901098901098	1	0.1428571428571428	1
15	Social media brings more harm than good. 64% of people who use Twitter for news say they have encountered something they later discovered wasn't true.	0.5	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0
16	We should support information privacy laws. 65% of Americans say they should control what info is collected about them	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.1428571428571428	0.1428571428571428	1	0.1428571428571428	2
17	We should ban fossil fuels. 7 million die every year from pollution, and its not including the animals, plants..the fossil gasses has huge influence on the pollution, and as we keep using the, every day there are more 20000 deads.	0.5555555560000001	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0.0	0.0833333333333333	1	0.1666666666666666	0
18	Social media brings more good than harm. 78.5% of traditional media reporters polled used social media to check for breaking news.	0.642857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0
19	Social media brings more good than harm. 83% of these teens report that social media helps them feel more connected to information about their friends' lives, 70% report feeling more connected to their friends' feelings, and 57% make new friends.	0.8888888890000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.024390243902439	0.0121951219512195	0	0.0	1
21	We should ban the sale of violent video games to minors. 90% of pediatricians and 67% of parents agreed or strongly agreed that violent video games can increase aggressive behavior among children.	0.8	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0416666666666666	0.0625	1	0.0833333333333333	1
22	We should promote autonomous cars. 90% of traffic accidents are due (at least partially) to human error. Traffic accidents are a mayor death cause. Autonomous cars will make those number drop drastically.	0.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.0	0.0729166666666666	1	0.1666666666666666	0
23	We should ban the sale of violent video games to minors. A 2014 peer-reviewed study in the Journal of the American Medical Association found that habitual violent video game playing had a causal link with increased, long-term, aggressive behavior.	0.923076923	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0285714285714285	0.0559523809523809	1	0.0833333333333333	1
24	Social media brings more good than harm. A Jan. 2015 study published in the Journal of Applied Developmental Psychology said college freshman should use social networking sites to build networks of new friends and reduce their risk of dropping out.	0.444444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0294117647058823	0.0147058823529411	0	0.0	1
25	Social media brings more good than harm. A McKinsey Global Institute study projected that the communication and collaboration from social media added between $900 billion and $1.3 trillion to the economy through added productivity and improved customer service.	0.909090909	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0
